what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1476595195198
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1476595195931
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1476595199781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595202726
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595246571
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595246609
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595271252
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595275952
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595283062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595294297
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595329614
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595331272
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1476595333815
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595336554
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595369863
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1476595369872
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595372168
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595378483
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595409965
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595414579
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595420331
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1476595429169
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595445409
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595446783
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595495074
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595503147
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595529174
started,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1476595529295
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1476595529338
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1476595529595
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1476595529657
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1476595530046
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1476595530354
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1476595530380
opened,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1476595530416
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1476595530589
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1476595530589
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1476595531477
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476595537419
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1476595540428
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595541902
closed,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1476595541902
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476595544417
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595546002
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595547493
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595547522
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1476595547525
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1476595547525
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595555291
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595581894
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1476595581932
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595586336
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595598844
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1476595598850
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595607885
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595646655
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595646730
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595646764
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595646830
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595646882
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1476595646882
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595648880
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595650290
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1476595654230
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595654688
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595660509
error,log,,,"Unhandled event loop exception",1476595660544
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595663086
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595664350
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595665766
error,log,,,"Unhandled event loop exception",1476595665783
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1476595668049
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476595670257
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595676971
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595807544
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595811385
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595819498
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595821055
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595839856
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595848051
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595848097
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595848097
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476595849092
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476595849092
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595853421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595878734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595883802
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595901838
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595905437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595966120
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595968427
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595981840
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595982063
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595989119
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595990009
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476595990050
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596016649
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596018812
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1476596018818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596022703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596023734
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1476596023740
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596026548
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596027897
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1476596027902
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596030118
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596047647
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596047681
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596049216
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596057874
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596057924
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476596059453
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596059664
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596059727
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476596061004
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596061194
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596061255
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596064394
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596067818
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476596069736
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596076280
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596076344
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596076378
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596077675
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.javaAppletShortcut.run",1476596077678
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596079267
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596081545
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1476596084355
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596088910
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596092974
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596097162
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1476596097178
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1476596098539
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1476596104286
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596144298
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596147336
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1476596151370
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596155880
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1476596157454
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596171081
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596212848
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596273171
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596273456
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596275067
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596329727
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596329906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596338584
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596373048
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476596373072
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596378602
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596388266
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596389476
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596393125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596401771
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476596401799
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596404032
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596454748
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596455694
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596459630
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596545404
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596556241
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596595046
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476596595070
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596595289
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596611301
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596628225
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1476596628237
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596632942
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596664364
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596672096
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596673687
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596676477
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596682342
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596684146
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476596685112
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476596695839
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476600680451
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476600690280
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476756330220
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476756342876
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476756374715
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476756397464
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476756404834
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476756425910
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476756425945
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476756427828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476756431171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1476756432982
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756450283
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756451199
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476756479673
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756484355
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756484436
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476756497104
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756497503
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756497582
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476756500859
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756501035
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756501084
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476756503104
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756503280
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756503327
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476756504712
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756505002
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756505098
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476756514828
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756515020
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756515077
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476756518904
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756519135
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756519218
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1476756521264
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1476756521449
